date,season,week,season_type,game_id,player_id,player_name,team,opponent,xp_made,xp_attempts,fg_made,fg_attempts,fg_made_distances,gsis_url
1998-09-06,1998,1,REG,1998_01_BUF_SD,nfl-john-carney,John Carney,SD,BUF,1,1,3,3,"48,47,54",https://nflgsis.com/1998/reg/01/319/Gamebook.pdf
1998-09-06,1998,1,REG,1998_01_DET_GB,nfl-jason-hanson-2,Jason Hanson,DET,GB,1,1,2,2,"47,43",https://nflgsis.com/1998/reg/01/320/Gamebook.pdf
1998-09-06,1998,1,REG,1998_01_JAX_CHI,nfl-jeff-jaeger,Jeff Jaeger,CHI,JAX,2,2,3,4,"45,35,19",https://nflgsis.com/1998/reg/01/321/Gamebook.pdf
1998-09-06,1998,1,REG,1998_01_MIA_IND,nfl-mike-vanderjagt,Mike Vanderjagt,IND,MIA,0,0,3,3,"51,27,20",https://nflgsis.com/1998/reg/01/322/Gamebook.pdf
1998-09-07,1998,1,REG,1998_01_NE_DEN,nfl-jason-elam,Jason Elam,DEN,NE,3,3,2,2,"53,42",https://nflgsis.com/1998/reg/01/331/Gamebook.pdf
1998-09-06,1998,1,REG,1998_01_NYJ_SF,nfl-john-hall,John Hall,NYJ,SF,3,3,3,4,"24,32,31",https://nflgsis.com/1998/reg/01/324/Gamebook.pdf
1998-09-06,1998,1,REG,1998_01_OAK_KC,nfl-pete-stoyanovich,Pete Stoyanovich,KC,OAK,2,2,4,5,"28,19,48,33",https://nflgsis.com/1998/reg/01/330/Gamebook.pdf
1998-09-06,1998,1,REG,1998_01_PIT_BAL,nfl-matt-stover,Matt Stover,BAL,PIT,1,1,2,5,"41,25",https://nflgsis.com/1998/reg/01/325/Gamebook.pdf
1998-09-06,1998,1,REG,1998_01_PIT_BAL,nfl-norm-johnson,Norm Johnson,PIT,BAL,2,2,2,2,"27,49",https://nflgsis.com/1998/reg/01/325/Gamebook.pdf
1998-09-06,1998,1,REG,1998_01_TEN_CIN,nfl-al-del-greco,Al Del Greco,TEN,CIN,2,2,3,4,"38,31,48",https://nflgsis.com/1998/reg/01/328/Gamebook.pdf
1998-09-13,1998,2,REG,1998_02_ARI_SEA,nfl-todd-peterson-2,Todd Peterson,SEA,ARI,3,3,2,2,"51,22",https://nflgsis.com/1998/reg/02/332/Gamebook.pdf
1998-09-13,1998,2,REG,1998_02_BUF_MIA,nfl-olindo-mare,Olindo Mare,MIA,BUF,1,1,2,2,"33,27",https://nflgsis.com/1998/reg/02/334/Gamebook.pdf
1998-09-13,1998,2,REG,1998_02_CAR_NO,nfl-doug-brien,Doug Brien,NO,CAR,1,1,2,2,"46,56",https://nflgsis.com/1998/reg/02/335/Gamebook.pdf
1998-09-13,1998,2,REG,1998_02_CHI_PIT,nfl-jeff-jaeger,Jeff Jaeger,CHI,PIT,0,1,2,2,"19,36",https://nflgsis.com/1998/reg/02/336/Gamebook.pdf
1998-09-13,1998,2,REG,1998_02_DAL_DEN,nfl-richie-cunningham,Richie Cunningham,DAL,DEN,2,2,3,3,"30,54,26",https://nflgsis.com/1998/reg/02/338/Gamebook.pdf
1998-09-13,1998,2,REG,1998_02_IND_NE,nfl-adam-vinatieri,Adam Vinatieri,NE,IND,2,2,3,4,"19,23,52",https://nflgsis.com/1998/reg/02/345/Gamebook.pdf
1998-09-13,1998,2,REG,1998_02_KC_JAX,nfl-pete-stoyanovich,Pete Stoyanovich,KC,JAX,1,1,3,3,"36,43,29",https://nflgsis.com/1998/reg/02/339/Gamebook.pdf
1998-09-13,1998,2,REG,1998_02_NYG_OAK,nfl-greg-davis,Greg Davis,OAK,NYG,2,2,2,2,"41,26",https://nflgsis.com/1998/reg/02/341/Gamebook.pdf
1998-09-13,1998,2,REG,1998_02_PHI_ATL,nfl-chris-boniol,Chris Boniol,PHI,ATL,0,1,2,3,"24,42",https://nflgsis.com/1998/reg/02/342/Gamebook.pdf
1998-09-13,1998,2,REG,1998_02_SD_TEN,nfl-john-carney,John Carney,SD,TEN,1,1,2,3,"48,23",https://nflgsis.com/1998/reg/02/343/Gamebook.pdf
1998-09-13,1998,2,REG,1998_02_TB_GB,nfl-ryan-longwell,Ryan Longwell,GB,TB,2,2,3,3,"38,27,20",https://nflgsis.com/1998/reg/02/344/Gamebook.pdf
1998-09-20,1998,3,REG,1998_03_CHI_TB,nfl-jeff-jaeger,Jeff Jaeger,CHI,TB,1,1,2,3,"26,52",https://nflgsis.com/1998/reg/03/348/Gamebook.pdf
1998-09-20,1998,3,REG,1998_03_DEN_OAK,nfl-jason-elam,Jason Elam,DEN,OAK,4,4,2,2,"35,35",https://nflgsis.com/1998/reg/03/349/Gamebook.pdf
1998-09-20,1998,3,REG,1998_03_DET_MIN,nfl-gary-anderson,Gary Anderson,MIN,DET,2,2,5,5,"27,28,42,29,34",https://nflgsis.com/1998/reg/03/350/Gamebook.pdf
1998-09-20,1998,3,REG,1998_03_DET_MIN,nfl-jason-hanson-2,Jason Hanson,DET,MIN,0,0,2,2,"37,49",https://nflgsis.com/1998/reg/03/350/Gamebook.pdf
1998-09-20,1998,3,REG,1998_03_GB_CIN,nfl-doug-pelfrey,Doug Pelfrey,CIN,GB,0,0,2,2,"37,19",https://nflgsis.com/1998/reg/03/351/Gamebook.pdf
1998-09-20,1998,3,REG,1998_03_GB_CIN,nfl-ryan-longwell,Ryan Longwell,GB,CIN,1,1,2,2,"30,35",https://nflgsis.com/1998/reg/03/351/Gamebook.pdf
1998-09-20,1998,3,REG,1998_03_IND_NYJ,nfl-mike-vanderjagt,Mike Vanderjagt,IND,NYJ,0,0,2,2,"43,24",https://nflgsis.com/1998/reg/03/352/Gamebook.pdf
1998-09-20,1998,3,REG,1998_03_SD_KC,nfl-pete-stoyanovich,Pete Stoyanovich,KC,SD,2,2,3,3,"35,31,33",https://nflgsis.com/1998/reg/03/355/Gamebook.pdf
1998-09-20,1998,3,REG,1998_03_STL_BUF,nfl-jeff-wilkins,Jeff Wilkins,STL,BUF,2,2,2,2,"27,25",https://nflgsis.com/1998/reg/03/354/Gamebook.pdf
1998-09-20,1998,3,REG,1998_03_TEN_NE,nfl-adam-vinatieri,Adam Vinatieri,NE,TEN,3,3,2,2,"43,41",https://nflgsis.com/1998/reg/03/356/Gamebook.pdf
1998-09-20,1998,3,REG,1998_03_TEN_NE,nfl-al-del-greco,Al Del Greco,TEN,NE,1,1,3,3,"34,26,45",https://nflgsis.com/1998/reg/03/356/Gamebook.pdf
1998-09-27,1998,4,REG,1998_04_ARI_STL,nfl-joe-nedney,Joe Nedney,ARI,STL,2,2,2,3,"22,29",https://nflgsis.com/1998/reg/04/360/Gamebook.pdf
1998-09-27,1998,4,REG,1998_04_GB_CAR,nfl-john-kasay,John Kasay,CAR,GB,3,3,3,3,"42,42,56",https://nflgsis.com/1998/reg/04/363/Gamebook.pdf
1998-09-27,1998,4,REG,1998_04_JAX_TEN,nfl-al-del-greco,Al Del Greco,TEN,JAX,1,1,3,3,"34,32,32",https://nflgsis.com/1998/reg/04/364/Gamebook.pdf
1998-09-27,1998,4,REG,1998_04_JAX_TEN,nfl-mike-hollis,Mike Hollis,JAX,TEN,3,3,2,2,"18,36",https://nflgsis.com/1998/reg/04/364/Gamebook.pdf
1998-09-27,1998,4,REG,1998_04_NO_IND,nfl-doug-brien,Doug Brien,NO,IND,1,1,2,2,"22,20",https://nflgsis.com/1998/reg/04/367/Gamebook.pdf
1998-09-27,1998,4,REG,1998_04_NO_IND,nfl-mike-vanderjagt,Mike Vanderjagt,IND,NO,1,1,2,2,"52,19",https://nflgsis.com/1998/reg/04/367/Gamebook.pdf
1998-09-27,1998,4,REG,1998_04_NYG_SD,nfl-brad-daluiso,Brad Daluiso,NYG,SD,4,4,2,2,"32,19",https://nflgsis.com/1998/reg/04/368/Gamebook.pdf
1998-09-27,1998,4,REG,1998_04_NYG_SD,nfl-john-carney,John Carney,SD,NYG,1,1,3,3,"41,46,34",https://nflgsis.com/1998/reg/04/368/Gamebook.pdf
1998-09-27,1998,4,REG,1998_04_OAK_DAL,nfl-greg-davis,Greg Davis,OAK,DAL,1,1,2,3,"30,38",https://nflgsis.com/1998/reg/04/369/Gamebook.pdf
1998-09-27,1998,4,REG,1998_04_SEA_PIT,nfl-norm-johnson,Norm Johnson,PIT,SEA,1,1,2,3,"33,25",https://nflgsis.com/1998/reg/04/370/Gamebook.pdf
