date,season,week,season_type,game_id,player_id,player_name,team,opponent,xp_made,xp_attempts,fg_made,fg_attempts,fg_made_distances
1970-09-19,1970,1,REG,1970_01_CHI_NYG,nfl-mac-percival,Mac Percival,CHI,NYG,3,3,1,2,28
1970-09-20,1970,1,REG,1970_01_ATL_NO,nfl-ken-vinyard,Ken Vinyard,ATL,NO,2,2,0,0,
1970-09-20,1970,1,REG,1970_01_ATL_NO,nfl-tom-dempsey,Tom Dempsey,NO,ATL,0,0,1,4,42
1970-09-20,1970,1,REG,1970_01_BAL_SD,nfl-mike-mercer,Mike Mercer,SD,BAL,2,2,0,1,
1970-09-20,1970,1,REG,1970_01_DAL_PHI,nfl-mark-moseley,Mark Moseley,PHI,DAL,1,1,0,0,
1970-09-20,1970,1,REG,1970_01_DAL_PHI,nfl-mike-clark-2,Mike Clark,DAL,PHI,2,2,1,1,13
1970-09-20,1970,1,REG,1970_01_DEN_BUF,nfl-grant-guthrie,Grant Guthrie,BUF,DEN,1,1,1,1,16
1970-09-20,1970,1,REG,1970_01_HOU_PIT,nfl-roy-gerela,Roy Gerela,HOU,PIT,2,2,1,2,8
1970-09-20,1970,1,REG,1970_01_KC_MIN,nfl-jan-stenerud,Jan Stenerud,KC,MIN,1,1,1,2,28
1970-09-20,1970,1,REG,1970_01_MIA_NE,nfl-karl-kremser,Karl Kremser,MIA,NE,2,2,0,1,
1970-09-20,1970,1,REG,1970_01_OAK_CIN,nfl-horst-muhlmann,Horst Muhlmann,CIN,OAK,4,4,1,3,38
1970-09-20,1970,1,REG,1970_01_WAS_SF,nfl-bruce-gossett,Bruce Gossett,SF,WAS,3,3,1,1,21
1970-09-20,1970,1,REG,1970_01_WAS_SF,nfl-curt-knight,Curt Knight,WAS,SF,2,2,1,1,18
1970-09-21,1970,1,REG,1970_01_NYJ_CLE,nfl-don-cockroft,Don Cockroft,CLE,NYJ,4,4,1,2,27
1970-09-21,1970,1,REG,1970_01_NYJ_CLE,nfl-jim-turner-2,Jim Turner,NYJ,CLE,3,3,0,1,
1970-09-27,1970,2,REG,1970_02_ATL_GB,nfl-dale-livingston,Dale Livingston,GB,ATL,3,4,0,1,
1970-09-27,1970,2,REG,1970_02_ATL_GB,nfl-ken-vinyard,Ken Vinyard,ATL,GB,3,3,1,4,19
1970-09-27,1970,2,REG,1970_02_CIN_DET,nfl-errol-mann,Errol Mann,DET,CIN,5,5,1,2,50
1970-09-27,1970,2,REG,1970_02_CIN_DET,nfl-horst-muhlmann,Horst Muhlmann,CIN,DET,0,0,1,1,35
1970-09-27,1970,2,REG,1970_02_CLE_SF,nfl-bruce-gossett,Bruce Gossett,SF,CLE,4,5,0,0,
1970-09-27,1970,2,REG,1970_02_CLE_SF,nfl-don-cockroft,Don Cockroft,CLE,SF,4,4,1,1,20
1970-09-27,1970,2,REG,1970_02_MIA_HOU,nfl-roy-gerela,Roy Gerela,HOU,MIA,1,1,1,1,10
1970-09-27,1970,2,REG,1970_02_NO_MIN,nfl-tom-dempsey,Tom Dempsey,NO,MIN,0,0,0,3,
1970-09-27,1970,2,REG,1970_02_NYG_DAL,nfl-mike-clark-2,Mike Clark,DAL,NYG,4,4,0,2,
1970-09-27,1970,2,REG,1970_02_NYG_DAL,nfl-pete-gogolak,Pete Gogolak,NYG,DAL,1,1,1,3,20
1970-09-27,1970,2,REG,1970_02_NYJ_NE,nfl-jim-turner-2,Jim Turner,NYJ,NE,4,4,1,1,25
1970-09-27,1970,2,REG,1970_02_PHI_CHI,nfl-mark-moseley,Mark Moseley,PHI,CHI,1,1,1,1,42
1970-09-27,1970,2,REG,1970_02_PIT_DEN,nfl-bobby-howfield,Bobby Howfield,DEN,PIT,2,2,0,2,
1970-09-27,1970,2,REG,1970_02_WAS_STL,nfl-curt-knight,Curt Knight,WAS,STL,2,2,1,1,36
1970-09-27,1970,2,REG,1970_02_WAS_STL,nfl-jim-bakken,Jim Bakken,STL,WAS,3,4,0,0,
1970-10-03,1970,3,REG,1970_03_PIT_CLE,nfl-don-cockroft,Don Cockroft,CLE,PIT,1,2,0,2,
1970-10-04,1970,3,REG,1970_03_DAL_STL,nfl-mike-clark-2,Mike Clark,DAL,STL,1,1,0,1,
1970-10-04,1970,3,REG,1970_03_MIN_GB,nfl-fred-cox,Fred Cox,MIN,GB,1,1,1,2,24
1970-10-04,1970,3,REG,1970_03_NYG_NO,nfl-pete-gogolak,Pete Gogolak,NYG,NO,1,1,1,4,8
1970-10-04,1970,3,REG,1970_03_NYG_NO,nfl-tom-dempsey,Tom Dempsey,NO,NYG,2,2,0,1,
1970-10-04,1970,3,REG,1970_03_NYJ_BUF,nfl-jim-turner-2,Jim Turner,NYJ,BUF,4,4,1,6,22
1970-10-04,1970,3,REG,1970_03_SD_LA,nfl-mike-mercer,Mike Mercer,SD,LA,1,1,1,1,30
1970-10-04,1970,3,REG,1970_03_SF_ATL,nfl-ken-vinyard,Ken Vinyard,ATL,SF,3,3,0,2,
1970-10-04,1970,3,REG,1970_03_WAS_PHI,nfl-mark-moseley,Mark Moseley,PHI,WAS,3,3,0,0,
1970-10-05,1970,3,REG,1970_03_CHI_DET,nfl-errol-mann,Errol Mann,DET,CHI,4,4,0,0,
1970-10-05,1970,3,REG,1970_03_CHI_DET,nfl-mac-percival,Mac Percival,CHI,DET,2,2,0,1,
1970-10-11,1970,4,REG,1970_04_ATL_DAL,nfl-ken-vinyard,Ken Vinyard,ATL,DAL,0,0,0,1,
1970-10-11,1970,4,REG,1970_04_BUF_PIT,nfl-grant-guthrie,Grant Guthrie,BUF,PIT,1,1,1,2,52
1970-10-11,1970,4,REG,1970_04_CIN_CLE,nfl-don-cockroft,Don Cockroft,CLE,CIN,4,4,0,0,
1970-10-11,1970,4,REG,1970_04_DET_WAS,nfl-curt-knight,Curt Knight,WAS,DET,4,4,1,1,31
1970-10-11,1970,4,REG,1970_04_DET_WAS,nfl-errol-mann,Errol Mann,DET,WAS,1,1,1,2,36
1970-10-11,1970,4,REG,1970_04_MIN_CHI,nfl-fred-cox,Fred Cox,MIN,CHI,3,3,1,3,22
1970-10-11,1970,4,REG,1970_04_MIN_CHI,nfl-mac-percival,Mac Percival,CHI,MIN,0,0,0,1,
1970-10-11,1970,4,REG,1970_04_NO_STL,nfl-jim-bakken,Jim Bakken,STL,NO,3,3,1,1,44
1970-10-11,1970,4,REG,1970_04_NO_STL,nfl-tom-dempsey,Tom Dempsey,NO,STL,2,2,1,3,34
1970-10-11,1970,4,REG,1970_04_PHI_NYG,nfl-mark-moseley,Mark Moseley,PHI,NYG,2,3,1,1,13
1970-10-18,1970,5,REG,1970_05_ATL_DEN,nfl-bobby-howfield,Bobby Howfield,DEN,ATL,3,3,1,2,51
1970-10-18,1970,5,REG,1970_05_ATL_DEN,nfl-ken-vinyard,Ken Vinyard,ATL,DEN,1,1,1,1,31
1970-10-18,1970,5,REG,1970_05_DET_CLE,nfl-don-cockroft,Don Cockroft,CLE,DET,3,3,1,1,47
1970-10-18,1970,5,REG,1970_05_LA_GB,nfl-dale-livingston,Dale Livingston,GB,LA,3,3,0,1,
1970-10-18,1970,5,REG,1970_05_LA_GB,nfl-david-ray,David Ray,LA,GB,4,4,1,2,36
1970-10-18,1970,5,REG,1970_05_MIA_BUF,nfl-grant-guthrie,Grant Guthrie,BUF,MIA,2,2,0,1,
1970-10-18,1970,5,REG,1970_05_PIT_HOU,nfl-roy-gerela,Roy Gerela,HOU,PIT,0,0,1,2,34
1970-10-18,1970,5,REG,1970_05_SD_CHI,nfl-mac-percival,Mac Percival,CHI,SD,1,1,0,0,
1970-10-18,1970,5,REG,1970_05_SD_CHI,nfl-mike-mercer,Mike Mercer,SD,CHI,2,3,0,0,
1970-10-18,1970,5,REG,1970_05_STL_PHI,nfl-jim-bakken,Jim Bakken,STL,PHI,5,5,0,0,
1970-10-25,1970,6,REG,1970_06_BUF_NYJ,nfl-grant-guthrie,Grant Guthrie,BUF,NYJ,1,1,1,3,9
1970-10-25,1970,6,REG,1970_06_CIN_WAS,nfl-horst-muhlmann,Horst Muhlmann,CIN,WAS,0,0,0,1,
1970-10-25,1970,6,REG,1970_06_CLE_MIA,nfl-don-cockroft,Don Cockroft,CLE,MIA,4,4,0,0,
1970-10-25,1970,6,REG,1970_06_DEN_SF,nfl-bobby-howfield,Bobby Howfield,DEN,SF,2,2,0,1,
1970-10-25,1970,6,REG,1970_06_DET_CHI,nfl-mac-percival,Mac Percival,CHI,DET,1,1,1,2,11
1970-10-25,1970,6,REG,1970_06_HOU_SD,nfl-mike-mercer,Mike Mercer,SD,HOU,4,4,1,1,45
1970-10-25,1970,6,REG,1970_06_HOU_SD,nfl-roy-gerela,Roy Gerela,HOU,SD,4,4,1,5,18
1970-10-25,1970,6,REG,1970_06_NE_BAL,nfl-charlie-gogolak,Charlie Gogolak,NE,BAL,0,0,1,3,15
1970-10-25,1970,6,REG,1970_06_NO_ATL,nfl-tom-dempsey,Tom Dempsey,NO,ATL,2,2,0,1,
1970-10-25,1970,6,REG,1970_06_PHI_GB,nfl-mark-moseley,Mark Moseley,PHI,GB,2,2,1,2,15
1970-10-25,1970,6,REG,1970_06_STL_NYG,nfl-jim-bakken,Jim Bakken,STL,NYG,2,2,1,2,25
1970-10-25,1970,6,REG,1970_06_STL_NYG,nfl-pete-gogolak,Pete Gogolak,NYG,STL,5,5,0,0,
1970-10-26,1970,6,REG,1970_06_LA_MIN,nfl-david-ray,David Ray,LA,MIN,0,0,1,1,23
1970-11-01,1970,7,REG,1970_07_BUF_NE,nfl-charlie-gogolak,Charlie Gogolak,NE,BUF,1,1,1,2,32
1970-11-01,1970,7,REG,1970_07_BUF_NE,nfl-grant-guthrie,Grant Guthrie,BUF,NE,6,6,1,2,20
1970-11-01,1970,7,REG,1970_07_CHI_ATL,nfl-ken-vinyard,Ken Vinyard,ATL,CHI,2,2,0,2,
1970-11-01,1970,7,REG,1970_07_GB_SF,nfl-dale-livingston,Dale Livingston,GB,SF,1,1,1,2,9
1970-11-01,1970,7,REG,1970_07_HOU_STL,nfl-roy-gerela,Roy Gerela,HOU,STL,0,0,0,1,
1970-11-01,1970,7,REG,1970_07_LA_NO,nfl-tom-dempsey,Tom Dempsey,NO,LA,2,2,1,1,23
1970-11-01,1970,7,REG,1970_07_MIA_BAL,nfl-garo-yepremian,Garo Yepremian,MIA,BAL,0,0,0,1,
1970-11-01,1970,7,REG,1970_07_MIN_DET,nfl-errol-mann,Errol Mann,DET,MIN,2,2,1,1,11
1970-11-01,1970,7,REG,1970_07_NYG_NYJ,nfl-jim-turner-2,Jim Turner,NYJ,NYG,1,1,1,1,31
1970-11-01,1970,7,REG,1970_07_OAK_KC,nfl-jan-stenerud,Jan Stenerud,KC,OAK,2,2,1,1,33
1970-11-01,1970,7,REG,1970_07_PHI_DAL,nfl-mark-moseley,Mark Moseley,PHI,DAL,2,2,1,1,19
1970-11-01,1970,7,REG,1970_07_PHI_DAL,nfl-mike-clark-2,Mike Clark,DAL,PHI,3,3,0,1,
1970-11-01,1970,7,REG,1970_07_SD_CLE,nfl-don-cockroft,Don Cockroft,CLE,SD,1,1,1,1,11
1970-11-01,1970,7,REG,1970_07_WAS_DEN,nfl-bobby-howfield,Bobby Howfield,DEN,WAS,0,0,1,2,36
1970-11-02,1970,7,REG,1970_07_CIN_PIT,nfl-horst-muhlmann,Horst Muhlmann,CIN,PIT,1,1,1,2,43
1970-11-08,1970,8,REG,1970_08_ATL_LA,nfl-david-ray,David Ray,LA,ATL,1,1,1,4,20
1970-11-08,1970,8,REG,1970_08_ATL_LA,nfl-ken-vinyard,Ken Vinyard,ATL,LA,1,1,1,2,39
1970-11-08,1970,8,REG,1970_08_CIN_BUF,nfl-grant-guthrie,Grant Guthrie,BUF,CIN,2,2,0,1,
1970-11-08,1970,8,REG,1970_08_DEN_SD,nfl-bobby-howfield,Bobby Howfield,DEN,SD,3,3,0,3,
1970-11-08,1970,8,REG,1970_08_DEN_SD,nfl-mike-mercer,Mike Mercer,SD,DEN,3,3,1,1,38
1970-11-08,1970,8,REG,1970_08_DET_NO,nfl-errol-mann,Errol Mann,DET,NO,2,2,1,1,18
1970-11-08,1970,8,REG,1970_08_HOU_KC,nfl-jan-stenerud,Jan Stenerud,KC,HOU,3,3,1,3,39
1970-11-08,1970,8,REG,1970_08_MIA_PHI,nfl-garo-yepremian,Garo Yepremian,MIA,PHI,2,2,1,2,24
