date,season,week,season_type,game_id,player_id,player_name,team,opponent,xp_made,xp_attempts,fg_made,fg_attempts,long_made_fg,source_url,reason
1970-09-18,1970,1,REG,1970_01_STL_LA,nfl-david-ray,David Ray,LA,STL,4,4,2,4,27,https://www.nfl.com/players/david-ray/stats/logs/1970/,NFL.com game log does not list every made FG distance for multi-FG games
1970-09-18,1970,1,REG,1970_01_STL_LA,nfl-jim-bakken,Jim Bakken,STL,LA,1,1,2,3,17,https://www.nfl.com/players/jim-bakken/stats/logs/1970/,NFL.com game log does not list every made FG distance for multi-FG games
1970-09-19,1970,1,REG,1970_01_CHI_NYG,nfl-pete-gogolak,Pete Gogolak,NYG,CHI,1,1,3,5,45,https://www.nfl.com/players/pete-gogolak/stats/logs/1970/,NFL.com game log does not list every made FG distance for multi-FG games
1970-09-20,1970,1,REG,1970_01_DEN_BUF,nfl-bobby-howfield,Bobby Howfield,DEN,BUF,2,2,3,4,48,https://www.nfl.com/players/bobby-howfield/stats/logs/1970/,NFL.com game log does not list every made FG distance for multi-FG games
1970-09-20,1970,1,REG,1970_01_DET_GB,nfl-errol-mann,Errol Mann,DET,GB,4,4,4,5,47,https://www.nfl.com/players/errol-mann/stats/logs/1970/,NFL.com game log does not list every made FG distance for multi-FG games
1970-09-20,1970,1,REG,1970_01_KC_MIN,nfl-fred-cox,Fred Cox,MIN,KC,3,3,2,2,40,https://www.nfl.com/players/fred-cox/stats/logs/1970/,NFL.com game log does not list every made FG distance for multi-FG games
1970-09-27,1970,2,REG,1970_02_LA_BUF,nfl-david-ray,David Ray,LA,BUF,1,1,4,6,46,https://www.nfl.com/players/david-ray/stats/logs/1970/,NFL.com game log does not list every made FG distance for multi-FG games
1970-09-27,1970,2,REG,1970_02_MIA_HOU,nfl-garo-yepremian,Garo Yepremian,MIA,HOU,2,2,2,3,42,https://www.nfl.com/players/garo-yepremian/stats/logs/1970/,NFL.com game log does not list every made FG distance for multi-FG games
1970-09-27,1970,2,REG,1970_02_NO_MIN,nfl-fred-cox,Fred Cox,MIN,NO,2,2,4,6,47,https://www.nfl.com/players/fred-cox/stats/logs/1970/,NFL.com game log does not list every made FG distance for multi-FG games
1970-09-27,1970,2,REG,1970_02_OAK_SD,nfl-mike-mercer,Mike Mercer,SD,OAK,3,3,2,2,48,https://www.nfl.com/players/mike-mercer/stats/logs/1970/,NFL.com game log does not list every made FG distance for multi-FG games
