date,season,week,season_type,game_id,player_id,player_name,team,opponent,xp_made,xp_attempts,fg_made,fg_attempts,fg_made_distances
1970-12-26,1970,1,POST,1970_POST_01_DIV_CIN_BAL,nfl-horst-muhlmann,Horst Muhlmann,CIN,BAL,0,0,0,1,
1970-12-26,1970,1,POST,1970_POST_01_DIV_CIN_BAL,nfl-jim-o-brien,Jim O'Brien,BAL,CIN,2,2,1,1,44
1970-12-26,1970,1,POST,1970_POST_01_DIV_DET_DAL,nfl-mike-clark-2,Mike Clark,DAL,DET,0,0,1,1,26
1970-12-27,1970,1,POST,1970_POST_01_DIV_MIA_OAK,nfl-garo-yepremian,Garo Yepremian,MIA,OAK,2,2,0,2,
1970-12-27,1970,1,POST,1970_POST_01_DIV_MIA_OAK,nfl-george-blanda,George Blanda,OAK,MIA,3,3,0,0,
1970-12-27,1970,1,POST,1970_POST_01_DIV_SF_MIN,nfl-bruce-gossett,Bruce Gossett,SF,MIN,2,2,1,2,40
1970-12-27,1970,1,POST,1970_POST_01_DIV_SF_MIN,nfl-fred-cox,Fred Cox,MIN,SF,2,2,0,2,
1971-01-03,1970,2,POST,1970_POST_02_CONF_DAL_SF,nfl-bruce-gossett,Bruce Gossett,SF,DAL,1,1,1,2,16
1971-01-03,1970,2,POST,1970_POST_02_CONF_DAL_SF,nfl-mike-clark-2,Mike Clark,DAL,SF,2,2,1,3,21
1971-01-03,1970,2,POST,1970_POST_02_CONF_OAK_BAL,nfl-george-blanda,George Blanda,OAK,BAL,2,2,1,1,48
1971-01-03,1970,2,POST,1970_POST_02_CONF_OAK_BAL,nfl-jim-o-brien,Jim O'Brien,BAL,OAK,3,3,2,2,"16,23"
1971-01-17,1970,3,POST,1970_POST_03_SB_BAL_DAL,nfl-jim-o-brien,Jim O'Brien,BAL,DAL,1,2,1,1,32
1971-01-17,1970,3,POST,1970_POST_03_SB_BAL_DAL,nfl-mike-clark-2,Mike Clark,DAL,BAL,1,1,2,2,"14,30"
1971-12-25,1971,1,POST,1971_POST_01_DIV_DAL_MIN,nfl-fred-cox,Fred Cox,MIN,DAL,1,1,1,3,27
1971-12-25,1971,1,POST,1971_POST_01_DIV_DAL_MIN,nfl-mike-clark-2,Mike Clark,DAL,MIN,2,2,2,2,"26,44"
1971-12-25,1971,1,POST,1971_POST_01_DIV_MIA_KC,nfl-garo-yepremian,Garo Yepremian,MIA,KC,3,3,2,3,"14,37"
1971-12-25,1971,1,POST,1971_POST_01_DIV_MIA_KC,nfl-jan-stenerud,Jan Stenerud,KC,MIA,3,3,1,4,24
1971-12-26,1971,1,POST,1971_POST_01_DIV_BAL_CLE,nfl-don-cockroft,Don Cockroft,CLE,BAL,0,0,1,3,14
1971-12-26,1971,1,POST,1971_POST_01_DIV_WAS_SF,nfl-bruce-gossett,Bruce Gossett,SF,WAS,3,3,1,1,23
1971-12-26,1971,1,POST,1971_POST_01_DIV_WAS_SF,nfl-curt-knight,Curt Knight,WAS,SF,2,2,2,3,"40,36"
1972-01-02,1971,2,POST,1971_POST_02_CONF_BAL_MIA,nfl-garo-yepremian,Garo Yepremian,MIA,BAL,3,3,0,0,
1972-01-02,1971,2,POST,1971_POST_02_CONF_SF_DAL,nfl-bruce-gossett,Bruce Gossett,SF,DAL,0,0,1,2,28
1972-01-02,1971,2,POST,1971_POST_02_CONF_SF_DAL,nfl-mike-clark-2,Mike Clark,DAL,SF,2,2,0,3,
1972-01-16,1971,3,POST,1971_POST_03_SB_DAL_MIA,nfl-garo-yepremian,Garo Yepremian,MIA,DAL,0,0,1,2,31
1972-01-16,1971,3,POST,1971_POST_03_SB_DAL_MIA,nfl-mike-clark-2,Mike Clark,DAL,MIA,3,3,1,1,9
1972-12-23,1972,1,POST,1972_POST_01_DIV_DAL_SF,nfl-bruce-gossett,Bruce Gossett,SF,DAL,4,4,0,2,
1972-12-23,1972,1,POST,1972_POST_01_DIV_DAL_SF,nfl-toni-fritsch,Toni Fritsch,DAL,SF,3,3,3,3,"37,45,27"
1972-12-23,1972,1,POST,1972_POST_01_DIV_OAK_PIT,nfl-roy-gerela,Roy Gerela,PIT,OAK,1,1,2,3,"18,29"
1972-12-24,1972,1,POST,1972_POST_01_DIV_CLE_MIA,nfl-don-cockroft,Don Cockroft,CLE,MIA,2,2,0,0,
1972-12-24,1972,1,POST,1972_POST_01_DIV_CLE_MIA,nfl-garo-yepremian,Garo Yepremian,MIA,CLE,2,2,2,4,"40,46"
1972-12-24,1972,1,POST,1972_POST_01_DIV_GB_WAS,nfl-chester-marcol,Chester Marcol,GB,WAS,0,0,1,2,17
1972-12-24,1972,1,POST,1972_POST_01_DIV_GB_WAS,nfl-curt-knight,Curt Knight,WAS,GB,1,1,3,3,"42,35,46"
1972-12-31,1972,2,POST,1972_POST_02_CONF_DAL_WAS,nfl-curt-knight,Curt Knight,WAS,DAL,2,2,4,4,"18,39,46,45"
1972-12-31,1972,2,POST,1972_POST_02_CONF_DAL_WAS,nfl-toni-fritsch,Toni Fritsch,DAL,WAS,0,0,1,2,35
1972-12-31,1972,2,POST,1972_POST_02_CONF_MIA_PIT,nfl-garo-yepremian,Garo Yepremian,MIA,PIT,3,3,0,0,
